ticker,name,sector,industry_category,industry_group
SYY,Sysco Corp.,Services,Wholesale,Food Wholesale
FAST,Fastenal Co.,Services,Wholesale,Industrial Equipment Wholesale
GWW,W.W. Grainger Inc.,Services,Wholesale,Industrial Equipment Wholesale
HSIC,Henry Schein Inc.,Services,Wholesale,Medical Equipment Wholesale
NTAP,Netapp Inc,Technology,Computer Hardware,Data Storage Devices
STX,Seagate Technology Plc,Technology,Computer Hardware,Data Storage Devices
WDC,Western Digital Corp.,Technology,Computer Hardware,Data Storage Devices
ANET,Arista Networks Inc,Technology,Computer Hardware,Diversified Computer Systems
HPE,Hewlett Packard Enterprise Co,Technology,Computer Hardware,Diversified Computer Systems
HPQ,HP Inc,Technology,Computer Hardware,Diversified Computer Systems
CSCO,"Cisco Systems, Inc.",Technology,Computer Hardware,Networking & Communication Devices
JNPR,Juniper Networks Inc,Technology,Computer Hardware,Networking & Communication Devices
ADBE,Adobe Inc.,Technology,Computer Software & Services,Application Software
ANSS,Ansys Inc.,Technology,Computer Software & Services,Application Software
CDNS,"Cadence Design Systems, Inc.",Technology,Computer Software & Services,Application Software
CRM,Salesforce.Com Inc,Technology,Computer Software & Services,Application Software
DXC,DXC Technology Co,Technology,Computer Software & Services,Application Software
FTNT,Fortinet Inc,Technology,Computer Software & Services,Application Software
INTU,Intuit Inc,Technology,Computer Software & Services,Application Software
ORCL,Oracle Corp.,Technology,Computer Software & Services,Application Software
ADP,Automatic Data Processing Inc.,Technology,Computer Software & Services,Business Software & Services
CTSH,Cognizant Technology Solutions Corp.,Technology,Computer Software & Services,Business Software & Services
CTXS,"Citrix Systems, Inc.",Technology,Computer Software & Services,Business Software & Services
FFIV,"F5 Networks, Inc.",Technology,Computer Software & Services,Business Software & Services
IRM,Iron Mountain Inc.,Technology,Computer Software & Services,Business Software & Services
JKHY,"Jack Henry & Associates, Inc.",Technology,Computer Software & Services,Business Software & Services
MSFT,Microsoft Corporation,Technology,Computer Software & Services,Business Software & Services
CERN,Cerner Corp.,Technology,Computer Software & Services,Healthcare Information Services
BR,"Broadridge Financial Solutions, Inc.",Technology,Computer Software & Services,Information & Delivery Services
LDOS,Leidos Holdings Inc,Technology,Computer Software & Services,Information & Delivery Services
NLSN,Nielsen Holdings plc,Technology,Computer Software & Services,Information & Delivery Services
ACN,Accenture plc,Technology,Computer Software & Services,Information Technology Services
FIS,"Fidelity National Information Services, Inc.",Technology,Computer Software & Services,Information Technology Services
IBM,International Business Machines Corp.,Technology,Computer Software & Services,Information Technology Services
IT,"Gartner, Inc.",Technology,Computer Software & Services,Information Technology Services
XRX,Xerox Corp,Technology,Computer Software & Services,Information Technology Services
ATVI,Activision Blizzard Inc,Technology,Computer Software & Services,Multimedia & Graphics Software
EA,"Electronic Arts, Inc.",Technology,Computer Software & Services,Multimedia & Graphics Software
TTWO,"Take-Two Interactive Software, Inc.",Technology,Computer Software & Services,Multimedia & Graphics Software
SYMC,Symantec Corp.,Technology,Computer Software & Services,Security Software & Services
ADSK,Autodesk Inc.,Technology,Computer Software & Services,Technical & System Software
APH,Amphenol Corp.,Technology,Electronics,Diversified Electronics
GLW,"Corning, Inc.",Technology,Electronics,Diversified Electronics
TEL,TE Connectivity Ltd,Technology,Electronics,Diversified Electronics
FLIR,"Flir Systems, Inc.",Technology,Electronics,Scientific & Technical Instruments
FTV,Fortive Corp,Technology,Electronics,Scientific & Technical Instruments
GRMN,Garmin Ltd,Technology,Electronics,Scientific & Technical Instruments
KEYS,Keysight Technologies Inc,Technology,Electronics,Scientific & Technical Instruments
AMD,Advanced Micro Devices Inc.,Technology,Electronics,Semiconductor - Broad Line
AVGO,Broadcom Inc,Technology,Electronics,Semiconductor - Broad Line
INTC,Intel Corp.,Technology,Electronics,Semiconductor - Broad Line
MCHP,"Microchip Technology, Inc.",Technology,Electronics,Semiconductor - Broad Line
MXIM,"Maxim Integrated Products, Inc.",Technology,Electronics,Semiconductor - Broad Line
QRVO,Qorvo Inc,Technology,Electronics,Semiconductor - Broad Line
TXN,Texas Instruments Inc.,Technology,Electronics,Semiconductor - Broad Line
ADI,Analog Devices Inc.,Technology,Electronics,Semiconductor - Integrated Circuits
SWKS,"Skyworks Solutions, Inc.",Technology,Electronics,Semiconductor - Integrated Circuits
XLNX,"Xilinx, Inc.",Technology,Electronics,Semiconductor - Integrated Circuits
NVDA,NVIDIA Corp,Technology,Electronics,Semiconductor - Specialized
AMAT,Applied Materials Inc.,Technology,Electronics,Semiconductor Equipment & Materials
IPGP,IPG Photonics Corp,Technology,Electronics,Semiconductor Equipment & Materials
KLAC,Kla-Tencor Corp.,Technology,Electronics,Semiconductor Equipment & Materials
LRCX,Lam Research Corp.,Technology,Electronics,Semiconductor Equipment & Materials
SNPS,"Synopsys, Inc.",Technology,Electronics,Semiconductor Equipment & Materials
MU,Micron Technology Inc.,Technology,Electronics,Semiconductor- Memory Chips
AKAM,Akamai Technologies Inc,Technology,Internet,Internet Information Providers
FB,Facebook Inc,Technology,Internet,Internet Information Providers
GOOG,Alphabet Inc,Technology,Internet,Internet Information Providers
INFO,IHS Markit Ltd,Technology,Internet,Internet Information Providers
TRIP,TripAdvisor Inc.,Technology,Internet,Internet Information Providers
TWTR,Twitter Inc,Technology,Internet,Internet Information Providers
VRSN,Verisign Inc.,Technology,Internet,Internet Information Providers
EQIX,Equinix Inc,Technology,Internet,Internet Software & Services
MSI,Motorola Solutions Inc,Technology,Telecommunications,Communication Equipment
QCOM,"Qualcomm, Inc.",Technology,Telecommunications,Communication Equipment
CCI,Crown Castle International Corp,Technology,Telecommunications,Diversified Communication Services
SBAC,SBA Communications Corp,Technology,Telecommunications,Diversified Communication Services
CTL,CenturyLink Inc,Technology,Telecommunications,Telecom Services - Domestic
VZ,Verizon Communications Inc,Technology,Telecommunications,Telecom Services - Domestic
TMUS,T-Mobile US Inc,Technology,Telecommunications,Wireless Communications
ES,Eversource Energy,Utilities,Utilities,Diversified Utilities
EXC,Exelon Corp.,Utilities,Utilities,Diversified Utilities
NI,Nisource Inc. (Holding Co.),Utilities,Utilities,Diversified Utilities
NRG,NRG Energy Inc.,Utilities,Utilities,Diversified Utilities
PEG,Public Service Enterprise Group Inc.,Utilities,Utilities,Diversified Utilities
SRE,Sempra Energy,Utilities,Utilities,Diversified Utilities
AEE,Ameren Corp.,Utilities,Utilities,Electric Utilities
AEP,American Electric Power Company Inc.,Utilities,Utilities,Electric Utilities
AES,AES Corp.,Utilities,Utilities,Electric Utilities
CMS,CMS Energy Corporation,Utilities,Utilities,Electric Utilities
D,Dominion Energy Inc,Utilities,Utilities,Electric Utilities
DTE,DTE Energy Co.,Utilities,Utilities,Electric Utilities
DUK,Duke Energy Corp.,Utilities,Utilities,Electric Utilities
ED,"Consolidated Edison, Inc.",Utilities,Utilities,Electric Utilities
EIX,Edison International,Utilities,Utilities,Electric Utilities
ETR,Entergy Corp.,Utilities,Utilities,Electric Utilities
EVRG,Evergy Inc,Utilities,Utilities,Electric Utilities
FE,Firstenergy Corp.,Utilities,Utilities,Electric Utilities
LNT,Alliant Energy Corp.,Utilities,Utilities,Electric Utilities
NEE,NextEra Energy Inc,Utilities,Utilities,Electric Utilities
PNW,Pinnacle West Capital Corp.,Utilities,Utilities,Electric Utilities
PPL,PPL Corp,Utilities,Utilities,Electric Utilities
SO,Southern Company,Utilities,Utilities,Electric Utilities
WEC,WEC Energy Group Inc,Utilities,Utilities,Electric Utilities
XEL,"Xcel Energy, Inc.",Utilities,Utilities,Electric Utilities
ATO,Atmos Energy Corp.,Utilities,Utilities,Gas Utilities
CNP,Centerpoint Energy Inc.,Utilities,Utilities,Gas Utilities
OKE,Oneok Inc.,Utilities,Utilities,Gas Utilities
AWK,American Water Works Co. Inc.,Utilities,Utilities,Water Utilities
CTVA,Corteva Inc,,,
